<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2024/11/13,13:30:00,1045,1050,1035,1035,42035
2024/11/14,13:30:00,1030,1040,1025,1035,44584
2024/11/15,13:30:00,1040,1045,1030,1035,34725
2024/11/18,13:30:00,1030,1035,1020,1025,31780
2024/11/19,13:30:00,1030,1045,1025,1040,24329
2024/11/20,13:30:00,1045,1050,1020,1025,35799
2024/11/21,13:30:00,1020,1025,1010,1010,41315
2024/11/22,13:30:00,1035,1050,1035,1040,25157
2024/11/25,13:30:00,1045,1050,1030,1030,49516
2024/11/26,13:30:00,1015,1020,1010,1010,27095
2024/11/27,13:30:00,1010,1020,1000,1000,31106
2024/11/28,13:30:00,1005,1005,992,1005,33643
2024/11/29,13:30:00,995,1010,994,996,40037
2024/12/2,13:30:00,1020,1040,1015,1035,31114
2024/12/3,13:30:00,1060,1065,1055,1055,43354
2024/12/4,13:30:00,1065,1070,1055,1070,33406
2024/12/5,13:30:00,1070,1080,1070,1075,31354
2024/12/6,13:30:00,1075,1080,1060,1065,30724
2024/12/9,13:30:00,1070,1075,1065,1075,22216
2024/12/10,13:30:00,1070,1075,1060,1065,28454
2024/12/11,13:30:00,1045,1060,1045,1045,25236
2024/12/12,13:30:00,1060,1065,1055,1060,22759
2024/12/13,13:30:00,1060,1070,1055,1065,20396
2024/12/16,13:30:00,1085,1085,1075,1085,39678
2024/12/17,13:30:00,1090,1095,1075,1075,37834
2024/12/18,13:30:00,1075,1090,1070,1085,41826
2024/12/19,13:30:00,1065,1070,1055,1070,42682
2024/12/20,13:30:00,1060,1060,1035,1035,51955
2024/12/23,13:30:00,1065,1080,1060,1080,30680
2024/12/24,13:30:00,1095,1095,1080,1080,26431
2024/12/25,13:30:00,1090,1090,1080,1085,15428
2024/12/26,13:30:00,1085,1090,1085,1085,14305
2024/12/27,13:30:00,1080,1095,1080,1090,24901
2024/12/30,13:30:00,1090,1095,1085,1090,23926
2024/12/31,13:30:00,1080,1085,1075,1075,28375
2025/1/2,13:30:00,1070,1075,1055,1065,43150
2025/1/3,13:30:00,1080,1085,1075,1075,30394
2025/1/6,13:30:00,1100,1125,1095,1125,69171
2025/1/7,13:30:00,1150,1160,1130,1130,48689
2025/1/8,13:30:00,1110,1130,1105,1105,45101
2025/1/9,13:30:00,1100,1115,1100,1100,27179
2025/1/10,13:30:00,1100,1110,1100,1100,21979
2025/1/13,13:30:00,1110,1115,1070,1075,56634
2025/1/14,13:30:00,1085,1090,1075,1090,28671
2025/1/15,13:30:00,1085,1085,1065,1065,35419
2025/1/16,13:30:00,1095,1115,1090,1105,47448
2025/1/17,13:30:00,1125,1125,1095,1120,59160
2025/1/20,13:30:00,1125,1135,1120,1120,29797
2025/1/21,13:30:00,1115,1125,1110,1120,21872
2025/1/22,13:30:00,1140,1150,1135,1135,42865
2025/2/3,13:30:00,1065,1075,1060,1070,97818
2025/2/4,13:30:00,1085,1100,1080,1095,53261
2025/2/5,13:30:00,1110,1120,1105,1110,40328
2025/2/6,13:30:00,1120,1120,1105,1115,29942
2025/2/7,13:30:00,1110,1125,1105,1125,27848
2025/2/10,13:30:00,1125,1125,1095,1105,28480
2025/2/11,13:30:00,1110,1115,1100,1110,18841
2025/2/12,13:30:00,1110,1115,1100,1100,24127
2025/2/13,13:30:00,1090,1095,1080,1090,33142
2025/2/14,13:30:00,1065,1070,1060,1060,64364
2025/2/17,13:30:00,1065,1085,1065,1085,35431
2025/2/18,13:30:00,1085,1100,1080,1100,21577
2025/2/19,13:30:00,1090,1095,1085,1090,26343
2025/2/20,13:30:00,1080,1085,1070,1080,29602
2025/2/21,13:30:00,1085,1095,1080,1095,28950
2025/2/24,13:30:00,1080,1085,1075,1075,30754
2025/2/25,13:30:00,1055,1060,1050,1055,45099
2025/2/26,13:30:00,1045,1060,1045,1060,36718
2025/2/27,13:30:00,1065,1065,1040,1040,55143
2025/3/3,13:30:00,1000,1020,1000,1020,65511
2025/3/4,13:30:00,996,1010,996,1000,64380
2025/3/5,13:30:00,1020,1030,1015,1020,41924
2025/3/6,13:30:00,1020,1025,1005,1005,45105
2025/3/7,13:30:00,1005,1010,1000,1005,40746
2025/3/10,13:30:00,1005,1005,992,998,46774
2025/3/11,13:30:00,969,979,963,971,50047
2025/3/12,13:30:00,980,995,976,988,34124
2025/3/13,13:30:00,1000,1005,965,965,36823
2025/3/14,13:30:00,965,969,955,959,34208
2025/3/17,13:30:00,977,985,968,970,31430
2025/3/18,13:30:00,976,978,968,971,21544
2025/3/19,13:30:00,965,967,950,952,35144
2025/3/20,13:30:00,978,985,971,985,28660
2025/3/21,13:30:00,985,987,970,972,39175
2025/3/24,13:30:00,986,987,972,972,16088
2025/3/25,13:30:00,989,995,985,990,26124
2025/3/26,13:30:00,995,995,980,980,21692
2025/3/27,13:30:00,961,964,958,958,34508
2025/3/28,13:30:00,946,955,946,952,33022
2025/3/31,13:30:00,920,924,910,910,50850
2025/4/1,13:30:00,929,946,925,944,32141
2025/4/2,13:30:00,949,952,938,942,24798
2025/4/7,13:30:00,848,848,848,848,23585
2025/4/8,13:30:00,797,843,797,816,116431
2025/4/9,13:30:00,809,826,780,785,107340
2025/4/10,13:30:00,863,863,863,863,19393
2025/4/11,13:30:00,848,889,836,889,76015
2025/4/14,13:30:00,895,903,865,865,66194
2025/4/15,13:30:00,874,879,865,877,30482
2025/4/16,13:30:00,867,869,852,855,41978
2025/4/17,13:30:00,849,856,842,847,33648
2025/4/18,13:30:00,853,858,850,850,20045
2025/4/21,13:30:00,844,847,832,835,18341
2025/4/22,13:30:00,826,829,816,816,28762
2025/4/23,13:30:00,853,873,848,873,37815
2025/4/24,13:30:00,886,886,859,864,32208
2025/4/25,13:30:00,900,901,886,888,34580
2025/4/28,13:30:00,898,898,893,897,21790
2025/4/29,13:30:00,897,902,893,902,24320
2025/4/30,13:30:00,901,908,899,908,35362
2025/5/2,13:30:00,938,950,932,950,43792
2025/5/5,13:30:00,956,957,923,938,52710
2025/5/6,13:30:00,916,930,916,920,37480
2025/5/7,13:30:00,925,932,911,928,36881
2025/5/8,13:30:00,933,939,918,918,27954
2025/5/9,13:30:00,938,949,934,949,36275
2025/5/12,13:30:00,954,962,952,957,23349
2025/5/13,13:30:00,990,990,969,969,38003
2025/5/14,13:30:00,990,999,988,999,40379
2025/5/15,13:30:00,1000,1000,993,993,24627
2025/5/16,13:30:00,991,998,989,998,16835
2025/5/19,13:30:00,993,994,980,984,19875
2025/5/20,13:30:00,991,994,978,978,20864
2025/5/21,13:30:00,986,999,983,990,26217
2025/5/22,13:30:00,988,988,979,982,18723
2025/5/23,13:30:00,993,993,975,984,22192
2025/5/26,13:30:00,975,984,975,976,19307
2025/5/27,13:30:00,971,975,961,965,26325
2025/5/28,13:30:00,984,985,967,967,26452
2025/5/29,13:30:00,986,986,967,967,48570
2025/6/2,13:30:00,958,961,946,946,33618
2025/6/3,13:30:00,960,965,950,950,25995
2025/6/4,13:30:00,974,990,970,990,37177
2025/6/5,13:30:00,1000,1000,991,998,24366
2025/6/6,13:30:00,997,997,991,995,13642
2025/6/9,13:30:00,1005,1010,1000,1005,21612
2025/6/10,13:30:00,1025,1050,1020,1045,44768
2025/6/11,13:30:00,1065,1070,1055,1065,37050
2025/6/12,13:30:00,1055,1060,1045,1045,25162
2025/6/13,13:30:00,1040,1040,1025,1030,28348
2025/6/16,13:30:00,1030,1030,1015,1025,28550
2025/6/17,13:30:00,1040,1050,1035,1045,26463
2025/6/18,13:30:00,1040,1055,1030,1055,37890
2025/6/19,13:30:00,1045,1045,1030,1035,23958
2025/6/20,13:30:00,1030,1055,1025,1055,57794
2025/6/23,13:30:00,1025,1030,1015,1020,32111
2025/6/24,13:30:00,1045,1050,1040,1050,28120
