<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <UpperBand>, <LowerBand>, <MidLine>, <Avg>, <ADX>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>
2024/9/19,13:30:00,940,960,936,960,32674,978,890,934,929,10.14,-1.51,-6.22,4.71,0.00,55.69,70.00,30.00
2024/9/20,13:30:00,981,982,971,973,60066,982,888,935,935,11.14,1.59,-4.66,6.25,0.00,58.48,70.00,30.00
2024/9/23,13:30:00,971,977,971,977,14456,986,886,936,943,12.08,4.32,-2.86,7.18,0.00,59.32,70.00,30.00
2024/9/24,13:30:00,976,987,971,987,26678,993,884,938,953,13.25,7.21,-0.85,8.06,0.00,61.44,70.00,30.00
2024/9/25,13:30:00,1000,1005,998,1005,39210,1003,880,941,964,14.85,10.82,1.49,9.34,0.00,64.98,70.00,30.00
2024/9/26,13:30:00,1010,1015,1005,1015,38001,1013,875,944,972,16.60,14.33,4.05,10.28,0.00,66.80,70.00,30.00
2024/9/27,13:30:00,1020,1025,1000,1000,35720,1020,874,947,978,18.46,15.72,6.39,9.33,0.00,61.62,70.00,30.00
2024/9/30,13:30:00,978,990,957,957,61439,1021,874,948,979,18.07,13.20,7.75,5.45,0.00,49.72,70.00,30.00
2024/10/1,13:30:00,967,977,967,972,26734,1023,875,949,983,17.70,12.27,8.65,3.61,0.00,53.12,70.00,30.00
2024/10/4,13:30:00,986,986,967,977,40906,1026,876,951,985,17.66,11.80,9.28,2.52,0.00,54.24,70.00,30.00
2024/10/7,13:30:00,993,1010,989,1005,39596,1029,883,956,988,18.34,13.53,10.13,3.40,0.00,59.96,70.00,30.00
2024/10/8,13:30:00,1000,1010,997,1010,30785,1034,890,962,992,18.97,15.13,11.13,4.00,0.00,60.90,70.00,30.00
2024/10/9,13:30:00,1030,1035,1020,1020,46899,1040,893,967,996,20.23,17.01,12.31,4.70,0.00,62.78,70.00,30.00
2024/10/11,13:30:00,1025,1050,1020,1045,42968,1048,900,974,1000,21.74,20.28,13.90,6.38,0.00,67.05,70.00,30.00
2024/10/14,13:30:00,1045,1055,1035,1045,36776,1054,908,981,1003,23.25,22.62,15.64,6.97,0.00,67.05,70.00,30.00
2024/10/15,13:30:00,1050,1075,1050,1070,42793,1062,917,990,1011,25.08,26.18,17.75,8.43,0.00,70.92,70.00,30.00
2024/10/16,13:30:00,1040,1070,1035,1045,52605,1068,922,995,1021,25.96,26.68,19.54,7.14,0.00,62.96,70.00,30.00
2024/10/17,13:30:00,1050,1055,1030,1035,54110,1071,928,999,1028,26.51,25.97,20.82,5.15,0.00,60.05,70.00,30.00
2024/10/18,13:30:00,1095,1100,1075,1085,84938,1082,930,1006,1040,28.01,29.11,22.48,6.63,0.00,68.00,70.00,30.00
2024/10/21,13:30:00,1090,1095,1080,1085,36415,1091,936,1013,1049,29.39,31.23,24.23,7.00,0.00,68.00,70.00,30.00
2024/10/22,13:30:00,1065,1075,1060,1075,41153,1097,941,1019,1056,29.66,31.74,25.73,6.01,0.00,65.00,70.00,30.00
2024/10/23,13:30:00,1060,1070,1055,1060,31380,1100,947,1024,1061,29.68,30.59,26.70,3.88,0.00,60.68,70.00,30.00
2024/10/24,13:30:00,1070,1075,1055,1060,38204,1103,952,1028,1062,29.82,29.33,27.23,2.10,0.00,60.68,70.00,30.00
2024/10/25,13:30:00,1065,1070,1060,1065,21976,1106,957,1032,1064,29.96,28.41,27.47,0.95,0.00,61.66,70.00,30.00
2024/10/28,13:30:00,1075,1080,1050,1050,40070,1108,960,1034,1062,30.08,26.17,27.21,-1.04,0.00,57.04,70.00,30.00
2024/10/29,13:30:00,1035,1040,1020,1040,45361,1108,962,1035,1062,28.64,23.32,26.43,-3.11,0.00,54.13,70.00,30.00
2024/10/30,13:30:00,1040,1055,1030,1030,38152,1108,965,1037,1061,27.83,20.02,25.15,-5.13,0.00,51.31,70.00,30.00
2024/11/1,13:30:00,996,1030,996,1025,54432,1102,978,1040,1054,26.00,16.81,23.48,-6.67,0.00,49.91,70.00,30.00
2024/11/4,13:30:00,1030,1045,1025,1040,26692,1097,990,1043,1049,24.52,15.30,21.85,-6.54,0.00,53.97,70.00,30.00
2024/11/5,13:30:00,1030,1055,1030,1050,32349,1091,1003,1047,1047,23.48,14.74,20.43,-5.68,0.00,56.50,70.00,30.00
2024/11/6,13:30:00,1050,1080,1040,1060,55286,1090,1010,1050,1047,23.28,14.93,19.33,-4.39,0.00,58.93,70.00,30.00
2024/11/7,13:30:00,1050,1075,1050,1065,43929,1089,1016,1053,1047,23.09,15.31,18.52,-3.21,0.00,60.13,70.00,30.00
2024/11/8,13:30:00,1085,1090,1080,1090,36807,1092,1020,1056,1050,23.35,17.43,18.30,-0.88,0.00,65.55,70.00,30.00
2024/11/11,13:30:00,1080,1090,1070,1085,34642,1096,1020,1058,1054,23.12,18.49,18.34,0.15,0.00,63.69,70.00,30.00
2024/11/12,13:30:00,1060,1065,1050,1050,50976,1096,1020,1058,1055,22.04,16.32,17.94,-1.62,0.00,52.44,70.00,30.00
2024/11/13,13:30:00,1045,1050,1035,1035,42035,1095,1018,1057,1056,20.47,13.23,17.00,-3.76,0.00,48.49,70.00,30.00
2024/11/14,13:30:00,1030,1040,1025,1035,44584,1096,1016,1056,1057,19.38,10.67,15.73,-5.06,0.00,48.49,70.00,30.00
2024/11/15,13:30:00,1040,1045,1030,1035,34725,1096,1016,1056,1056,18.17,8.53,14.29,-5.76,0.00,48.49,70.00,30.00
2024/11/18,13:30:00,1030,1035,1020,1025,31780,1092,1014,1053,1053,17.42,5.97,12.63,-6.66,0.00,45.62,70.00,30.00
2024/11/19,13:30:00,1030,1045,1025,1040,24329,1088,1014,1051,1051,16.30,5.09,11.12,-6.03,0.00,50.36,70.00,30.00
2024/11/20,13:30:00,1045,1050,1020,1025,35799,1085,1011,1048,1047,15.26,3.14,9.52,-6.38,0.00,46.04,70.00,30.00
2024/11/21,13:30:00,1020,1025,1010,1010,41315,1086,1006,1046,1038,14.71,0.38,7.69,-7.31,0.00,42.15,70.00,30.00
2024/11/22,13:30:00,1035,1050,1035,1040,25157,1084,1005,1045,1033,14.19,0.61,6.28,-5.67,0.00,51.06,70.00,30.00
2024/11/25,13:30:00,1045,1050,1030,1030,49516,1082,1004,1043,1031,13.48,-0.01,5.02,-5.03,0.00,48.38,70.00,30.00
2024/11/26,13:30:00,1015,1020,1010,1010,27095,1082,1000,1041,1028,13.05,-2.10,3.60,-5.69,0.00,43.48,70.00,30.00
2024/11/27,13:30:00,1010,1020,1000,1000,31106,1084,994,1039,1024,13.02,-4.51,1.98,-6.48,0.00,41.23,70.00,30.00
2024/11/28,13:30:00,1005,1005,992,1005,33643,1085,991,1038,1021,13.29,-5.94,0.39,-6.33,0.00,42.82,70.00,30.00
2024/11/29,13:30:00,995,1010,994,996,40037,1087,986,1036,1017,13.28,-7.72,-1.23,-6.49,0.00,40.68,70.00,30.00
2024/12/2,13:30:00,1020,1040,1015,1035,31114,1086,986,1036,1017,12.72,-5.91,-2.17,-3.74,0.00,51.90,70.00,30.00
2024/12/3,13:30:00,1060,1065,1055,1055,43354,1087,986,1036,1020,13.07,-2.83,-2.30,-0.53,0.00,56.44,70.00,30.00
2024/12/4,13:30:00,1065,1070,1055,1070,33406,1089,985,1037,1027,13.55,0.81,-1.68,2.49,0.00,59.53,70.00,30.00
2024/12/5,13:30:00,1070,1080,1070,1075,31354,1090,984,1037,1031,14.32,4.05,-0.53,4.58,0.00,60.54,70.00,30.00
2024/12/6,13:30:00,1075,1080,1060,1065,30724,1085,987,1036,1035,14.53,5.75,0.73,5.03,0.00,57.46,70.00,30.00
2024/12/9,13:30:00,1070,1075,1065,1075,22216,1083,988,1036,1042,14.73,7.81,2.14,5.67,0.00,59.67,70.00,30.00
2024/12/10,13:30:00,1070,1075,1060,1065,28454,1085,988,1036,1049,14.65,8.54,3.42,5.12,0.00,56.51,70.00,30.00
2024/12/11,13:30:00,1045,1060,1045,1045,25236,1085,988,1037,1053,13.83,7.42,4.22,3.20,0.00,50.74,70.00,30.00
2024/12/12,13:30:00,1060,1065,1055,1060,22759,1088,988,1038,1061,13.29,7.65,4.91,2.74,0.00,54.49,70.00,30.00
2024/12/13,13:30:00,1060,1070,1055,1065,20396,1091,989,1040,1064,13.01,8.15,5.56,2.59,0.00,55.71,70.00,30.00
2024/12/16,13:30:00,1085,1085,1075,1085,39678,1097,988,1043,1067,13.38,10.04,6.45,3.58,0.00,60.27,70.00,30.00
2024/12/17,13:30:00,1090,1095,1075,1075,37834,1100,988,1044,1068,14.10,10.60,7.28,3.32,0.00,57.10,70.00,30.00
2024/12/18,13:30:00,1075,1090,1070,1085,41826,1105,989,1047,1069,14.47,11.73,8.17,3.56,0.00,59.40,70.00,30.00
2024/12/19,13:30:00,1065,1070,1055,1070,42682,1106,994,1050,1069,13.98,11.28,8.79,2.48,0.00,54.67,70.00,30.00
2024/12/20,13:30:00,1060,1060,1035,1035,51955,1106,994,1050,1065,13.40,8.00,8.63,-0.63,0.00,45.56,70.00,30.00
2024/12/23,13:30:00,1065,1080,1060,1080,30680,1109,996,1053,1067,12.92,8.94,8.69,0.24,0.00,55.77,70.00,30.00
2024/12/24,13:30:00,1095,1095,1080,1080,26431,1111,1001,1056,1071,13.05,9.56,8.87,0.70,0.00,55.77,70.00,30.00
2024/12/25,13:30:00,1090,1090,1080,1085,15428,1110,1011,1060,1073,13.17,10.35,9.16,1.18,0.00,56.81,70.00,30.00
2024/12/26,13:30:00,1085,1090,1085,1085,14305,1108,1021,1064,1076,13.29,10.84,9.50,1.34,0.00,56.81,70.00,30.00
2024/12/27,13:30:00,1080,1095,1080,1090,24901,1101,1037,1069,1076,13.40,11.51,9.90,1.61,0.00,57.96,70.00,30.00
2024/12/30,13:30:00,1090,1095,1085,1090,23926,1101,1043,1072,1078,13.50,11.90,10.30,1.60,0.00,57.96,70.00,30.00
2024/12/31,13:30:00,1080,1085,1075,1075,28375,1101,1045,1073,1077,12.95,10.87,10.41,0.45,0.00,53.04,70.00,30.00
2025/1/2,13:30:00,1070,1075,1055,1065,43150,1101,1044,1073,1076,12.69,9.14,10.16,-1.02,0.00,50.00,70.00,30.00
2025/1/3,13:30:00,1080,1085,1075,1075,30394,1101,1044,1073,1081,11.88,8.48,9.82,-1.34,0.00,52.91,70.00,30.00
2025/1/6,13:30:00,1100,1125,1095,1125,69171,1111,1040,1076,1086,12.64,11.86,10.23,1.63,0.00,64.15,70.00,30.00
2025/1/7,13:30:00,1150,1160,1130,1130,48689,1121,1035,1078,1091,14.35,14.77,11.14,3.63,0.00,65.05,70.00,30.00
2025/1/8,13:30:00,1110,1130,1105,1105,45101,1124,1036,1080,1093,14.73,14.88,11.89,3.00,0.00,57.31,70.00,30.00
2025/1/9,13:30:00,1100,1115,1100,1100,27179,1125,1041,1083,1095,14.88,14.40,12.39,2.01,0.00,55.88,70.00,30.00
2025/1/10,13:30:00,1100,1110,1100,1100,21979,1126,1044,1085,1096,15.01,13.87,12.69,1.18,0.00,55.88,70.00,30.00
2025/1/13,13:30:00,1110,1115,1070,1075,56634,1126,1045,1086,1094,14.01,11.29,12.41,-1.11,0.00,48.82,70.00,30.00
2025/1/14,13:30:00,1085,1090,1075,1090,28671,1126,1045,1086,1096,13.08,10.34,11.99,-1.65,0.00,52.68,70.00,30.00
2025/1/15,13:30:00,1085,1085,1065,1065,35419,1126,1044,1085,1096,12.61,7.49,11.09,-3.61,0.00,46.39,70.00,30.00
2025/1/16,13:30:00,1095,1115,1090,1105,47448,1128,1044,1086,1099,12.40,8.36,10.55,-2.19,0.00,55.54,70.00,30.00
2025/1/17,13:30:00,1125,1125,1095,1120,59160,1132,1045,1089,1099,12.54,10.14,10.46,-0.33,0.00,58.41,70.00,30.00
2025/1/20,13:30:00,1125,1135,1120,1120,29797,1131,1055,1093,1098,12.99,11.42,10.65,0.76,0.00,58.41,70.00,30.00
2025/1/21,13:30:00,1115,1125,1110,1120,21872,1134,1056,1095,1099,12.95,12.29,10.98,1.31,0.00,58.41,70.00,30.00
2025/1/22,13:30:00,1140,1150,1135,1135,42865,1140,1055,1098,1103,13.71,14.03,11.59,2.44,0.00,61.51,70.00,30.00
2025/2/3,13:30:00,1065,1075,1060,1070,97818,1141,1053,1097,1100,13.61,10.05,11.28,-1.23,0.00,45.64,70.00,30.00
2025/2/4,13:30:00,1085,1100,1080,1095,53261,1141,1054,1098,1102,12.76,8.81,10.79,-1.98,0.00,50.88,70.00,30.00
2025/2/5,13:30:00,1110,1120,1105,1110,40328,1142,1055,1099,1104,12.27,8.94,10.42,-1.48,0.00,53.77,70.00,30.00
2025/2/6,13:30:00,1120,1120,1105,1115,29942,1144,1056,1100,1110,11.82,9.33,10.20,-0.87,0.00,54.72,70.00,30.00
2025/2/7,13:30:00,1110,1125,1105,1125,27848,1146,1058,1102,1112,11.54,10.33,10.23,0.10,0.00,56.65,70.00,30.00
2025/2/10,13:30:00,1125,1125,1095,1105,28480,1145,1064,1104,1111,10.95,9.40,10.06,-0.66,0.00,51.89,70.00,30.00
2025/2/11,13:30:00,1110,1115,1100,1110,18841,1144,1068,1106,1109,10.40,8.97,9.84,-0.88,0.00,52.96,70.00,30.00
2025/2/12,13:30:00,1110,1115,1100,1100,24127,1142,1068,1105,1107,9.88,7.72,9.42,-1.69,0.00,50.55,70.00,30.00
2025/2/13,13:30:00,1090,1095,1080,1090,33142,1138,1067,1103,1102,9.68,5.87,8.71,-2.84,0.00,48.19,70.00,30.00
2025/2/14,13:30:00,1065,1070,1060,1060,64364,1141,1060,1101,1101,10.12,1.95,7.36,-5.41,0.00,41.87,70.00,30.00
2025/2/17,13:30:00,1065,1085,1065,1085,35431,1141,1059,1100,1100,9.94,0.85,6.06,-5.20,0.00,47.99,70.00,30.00
2025/2/18,13:30:00,1085,1100,1080,1100,21577,1141,1059,1100,1099,9.24,1.18,5.08,-3.90,0.00,51.30,70.00,30.00
2025/2/19,13:30:00,1090,1095,1085,1090,26343,1140,1061,1101,1096,8.60,0.63,4.19,-3.56,0.00,49.06,70.00,30.00
2025/2/20,13:30:00,1080,1085,1070,1080,29602,1140,1060,1100,1091,8.52,-0.61,3.23,-3.84,0.00,46.85,70.00,30.00
2025/2/21,13:30:00,1085,1095,1080,1095,28950,1139,1064,1102,1090,8.05,-0.38,2.51,-2.89,0.00,50.45,70.00,30.00
2025/2/24,13:30:00,1080,1085,1075,1075,30754,1139,1061,1100,1086,7.80,-1.79,1.65,-3.44,0.00,45.98,70.00,30.00
2025/2/25,13:30:00,1055,1060,1050,1055,45099,1139,1055,1097,1081,8.45,-4.47,0.43,-4.89,0.00,41.98,70.00,30.00
2025/2/26,13:30:00,1045,1060,1045,1060,36718,1137,1050,1094,1078,9.22,-6.12,-0.88,-5.23,0.00,43.31,70.00,30.00
2025/2/27,13:30:00,1065,1065,1040,1040,55143,1138,1042,1090,1076,9.92,-8.93,-2.49,-6.44,0.00,39.42,70.00,30.00
2025/3/3,13:30:00,1000,1020,1000,1020,65511,1136,1032,1084,1068,11.74,-12.63,-4.52,-8.11,0.00,35.94,70.00,30.00
2025/3/4,13:30:00,996,1010,996,1000,64380,1144,1017,1081,1057,13.52,-16.99,-7.01,-9.97,0.00,32.82,70.00,30.00
2025/3/5,13:30:00,1020,1030,1015,1020,41924,1145,1008,1077,1049,14.18,-18.61,-9.33,-9.27,0.00,38.56,70.00,30.00
2025/3/6,13:30:00,1020,1025,1005,1005,45105,1145,998,1072,1041,15.08,-20.86,-11.64,-9.22,0.00,36.07,70.00,30.00
2025/3/7,13:30:00,1005,1010,1000,1005,40746,1142,990,1066,1031,16.06,-22.39,-13.79,-8.60,0.00,36.07,70.00,30.00
2025/3/10,13:30:00,1005,1005,992,998,46774,1136,983,1060,1023,17.20,-23.89,-15.81,-8.08,0.00,34.85,70.00,30.00
2025/3/11,13:30:00,969,979,963,971,50047,1135,970,1053,1013,18.98,-26.95,-18.04,-8.91,0.00,30.57,70.00,30.00
2025/3/12,13:30:00,980,995,976,988,34124,1130,964,1047,1005,19.80,-27.68,-19.96,-7.71,0.00,35.91,70.00,30.00
2025/3/13,13:30:00,1000,1005,965,965,36823,1126,954,1040,997,20.85,-29.77,-21.93,-7.85,0.00,32.29,70.00,30.00
2025/3/14,13:30:00,965,969,955,959,34208,1123,944,1034,990,22.07,-31.55,-23.85,-7.70,0.00,31.40,70.00,30.00
2025/3/17,13:30:00,977,985,968,970,31430,1122,936,1029,987,22.39,-31.71,-25.42,-6.29,0.00,34.94,70.00,30.00
2025/3/18,13:30:00,976,978,968,971,21544,1116,931,1023,981,22.68,-31.39,-26.61,-4.77,0.00,35.27,70.00,30.00
2025/3/19,13:30:00,965,967,950,952,35144,1107,925,1016,975,23.46,-32.30,-27.75,-4.55,0.00,31.98,70.00,30.00
2025/3/20,13:30:00,978,985,971,985,28660,1096,926,1011,973,23.28,-30.01,-28.20,-1.81,0.00,42.08,70.00,30.00
2025/3/21,13:30:00,985,987,970,972,39175,1085,925,1005,970,23.01,-28.91,-28.34,-0.57,0.00,39.59,70.00,30.00
2025/3/24,13:30:00,986,987,972,972,16088,1069,929,999,970,22.77,-27.72,-28.22,0.50,0.00,39.59,70.00,30.00
2025/3/25,13:30:00,989,995,985,990,26124,1056,934,995,971,22.11,-25.04,-27.58,2.55,0.00,44.84,70.00,30.00
2025/3/26,13:30:00,995,995,980,980,21692,1045,937,991,972,21.70,-23.45,-26.76,3.31,0.00,42.62,70.00,30.00
2025/3/27,13:30:00,961,964,958,958,34508,1032,940,986,972,22.12,-23.69,-26.14,2.45,0.00,38.15,70.00,30.00
2025/3/28,13:30:00,946,955,946,952,33022,1023,941,982,970,22.88,-24.09,-25.73,1.64,0.00,37.01,70.00,30.00
2025/3/31,13:30:00,920,924,910,910,50850,1024,928,976,963,24.50,-27.47,-26.08,-1.39,0.00,30.21,70.00,30.00
2025/4/1,13:30:00,929,946,925,944,32141,1022,925,973,963,24.85,-27.10,-26.28,-0.82,0.00,39.85,70.00,30.00
2025/4/2,13:30:00,949,952,938,942,24798,1015,924,969,958,24.88,-26.66,-26.36,-0.30,0.00,39.50,70.00,30.00
2025/4/7,13:30:00,848,848,848,848,23585,1029,894,962,944,26.71,-33.51,-27.79,-5.72,0.00,27.45,70.00,30.00
2025/4/8,13:30:00,797,843,797,816,116431,1042,863,952,927,29.02,-41.05,-30.44,-10.61,0.00,24.69,70.00,30.00
2025/4/9,13:30:00,809,826,780,785,107340,1054,829,942,904,31.33,-48.96,-34.15,-14.81,0.00,22.35,70.00,30.00
2025/4/10,13:30:00,863,863,863,863,19393,1053,819,936,891,32.10,-48.38,-36.99,-11.39,0.00,38.24,70.00,30.00
2025/4/11,13:30:00,848,889,836,889,76015,1047,815,931,883,33.17,-45.30,-38.65,-6.64,0.00,42.47,70.00,30.00
2025/4/14,13:30:00,895,903,865,865,66194,1045,808,926,874,33.68,-44.28,-39.78,-4.50,0.00,39.76,70.00,30.00
2025/4/15,13:30:00,874,879,865,877,30482,1041,803,922,870,34.16,-42.02,-40.23,-1.80,0.00,41.76,70.00,30.00
2025/4/16,13:30:00,867,869,852,855,41978,1037,796,916,860,34.80,-41.53,-40.49,-1.04,0.00,39.19,70.00,30.00
2025/4/17,13:30:00,849,856,842,847,33648,1031,789,910,849,35.55,-41.31,-40.65,-0.66,0.00,38.27,70.00,30.00
2025/4/18,13:30:00,853,858,850,850,20045,1027,783,905,850,36.16,-40.43,-40.61,0.18,0.00,38.85,70.00,30.00
